Name,Price,Rating
Prestige PKOSS1500WATT Electric Kettle,₹860,4.2
"Butterfly Arrow 500 W Mixer Grinder (3 Jars, Grey)","₹1,898",4
Preethi Zion MG-227/MG227 750 W Juicer Mixer Grinder (4...,"₹6,998",4.3
Pigeon 25-Litre 14347 Oven Toaster Grill (OTG),"₹3,999",4
Flipkart SmartBuy Panini Grill Sandwich Maker,"₹1,448",4.2
"Butterfly Rapid 750 W Juicer Mixer Grinder (4 Jars, Bla...","₹3,198",4.1
"Prestige ELEGANT 750 W Juicer Mixer Grinder (4 Jars, Re...","₹3,498",4.1
MarQ By Flipkart Colossus KitchenPro 1000 W Juicer Mixe...,"₹6,499",4.5
Elica 60 cm 1100 m3/hr Auto Clean Wall Mounted Chimney,"₹14,999",4.1
SAMSUNG 21 L Convection Microwave Oven,"₹9,790",4.4
hdayenterprise Heavy Duty Electronic Thick Tempered Gla...,₹599,4
"IMAGINEA Mini Coffee Maker, Electric Foam Maker Classic...",₹249,4.2
"Geek Robocook Glam Smart Rice Cooker, Electric Pressure...","₹5,099",3.8
Prestige Electric Kettle PKOSS 1.5 Electric Kettle,₹845,4.2
Homware Nonstick Sandwich maker Toast & GRill Grill,₹308,4.1
crystalia KV500 Electric Kettle,₹799,4
kiran 8 Liter Double PAN Deep Fryer- Electric & Gas - 8...,"₹14,385",3.6
helicon K200 Electric Kettle,₹599,3.9
"EVEREADY MG500iLX MG500i LX 500 Mixer Grinder (2 Jars, ...","₹1,600",4.2
PHILIPS HD2582/00 830 W Pop Up Toaster,"₹1,866",4.5
GLEN SA 3036 Egg Cooker,"₹1,230",4.3
"Fabiano 500W Mixer Grinder (White & Grey, 3 Jars) & 1.8...","₹1,916",4.1
"HAVELLS MaxxGrind 750 W Mixer Grinder (3 Jars, Blue)","₹3,650",4.4
Styler Electronic egg boiler Electric Boiler Steamer Po...,₹298,4.1
Whirlpool CG 901 HAC HOOD Auto Clean Wall Mounted Chimn...,"₹12,499",4
USHA Cook Joy - 3616 -1600W Induction Cooktop,"₹2,217",4.3
ORPAT HHB-100E WOB 250 W Hand Blender,₹765,4.3
Prestige PRM 3.0 Roti and Khakra Maker,"₹2,149",3.3
Elica WDFL 606 HAC MS NERO Auto Clean Wall Mounted Chim...,"₹11,990",4.1
"Inalsa POLO 3 JARS Polo 550 W Mixer Grinder (3 Jars, Wh...","₹1,698",4.1
MarQ By Flipkart 18-Litre 18L1200W4HL Oven Toaster Gril...,"₹3,699",4.3
Sansui ProHome 1800W Induction Cooktop,"₹1,898",4.1
Natraj Aatamaker Viva Atta Chakki Fully Automatic Domes...,"₹16,990",4.1
"SrO Weighing Scale Digital Portable Hook Type 50kg,lugg...",₹234,3.9
Prestige PGMFB800 800 W Pop Up Toaster,"₹1,365",4.3
Sansui Ultima Pro Home 750 W Juicer Mixer Grinder (4 Ja...,"₹2,948",4.1
varada Air Fryer Over 12Liter Air Fryer,"₹9,999",5
MILTON Smart Egg Boiler - 210 Watt (Transparent and Sil...,"₹1,099",4.1
Glancing Digital Kitchen Weighing Machine Multipurpose ...,₹499,4.5
"HAVELLS POWER HUNK 800 800 Mixer Grinder (3 Jars, Black...","₹3,830",4.3
Panasonic 20 L Grill Microwave Oven,"₹7,890",4.4
Flipkart SmartBuy Sandwich 01 Grill,₹928,4.1
Kelo Vegetable Weight Machine- 10g-50Kg Digital Hanging...,₹254,4
Sujata POWERMATIC PLUS WITH FREE CHUTNEY JAR 900 WATTS ...,"₹6,097",4.5
"Butterfly Plus Rapid 750 W Mixer Grinder (5 Jars, Ink B...","₹3,698",4.3
"Inalsa Polo 2 550 W Mixer Grinder (2 Jars, White, Blue)","₹1,448",4.1
Kinoki e smile Stainless Steel Quick Heating Tea - Wate...,₹699,4.1
"EVEREADY MG500iLX MG500i LX 500 Mixer Grinder (2 Jars, ...","₹1,600",4.2
"Butterfly Arrow 500 W Mixer Grinder (3 Jars, Grey)","₹1,898",4
PHILIPS 25-Litre HD6975/00(882697500010 Oven Toaster Gr...,"₹6,649",4.5
MODERN MHB909BG 250 W Hand Blender,₹899,4.6
MAHARAJA WHITELINE Neo (MX-147)/(mx-199) 500 W Mixer Gr...,"₹2,148",4.1
